3000	Recipe: Dwarven Chain Shield		a,For Dwarves only. The recipe for a Dwarven Chain Shield. Requires Create Item - Skill Level 5. The success rate is 100%.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
3001	Recipe: Rind Leather Boots		a,For Dwarves only. The recipe for the Rind Leather Boots. Requires Create Item - Skill Level 5. The success rate is 100%.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
3002	Recipe: Dwarven Chain Gloves		a,For Dwarves only. The recipe for Dwarven Chain Gloves. Requires Create Item - Skill Level 5. The success rate is 100%.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
3003	Recipe: Gloves of Seal		a,For Dwarves only. The recipe for Gloves of Seal. Requires Create Item - Skill Level 5. The success rate is 100%.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
3004	Recipe: Rind Leather Gloves		a,For Dwarves only. The recipe for the Rind Leather Gloves. Requires Create Item - Skill Level 5. The success rate is 100%.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
3005	Recipe: Demon's Boots		a,For Dwarves only. The recipe for Demon's Boots. Requires Create Item - Skill Level 5. The success rate is 100%.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
3006	Recipe: Demon's Gloves		a,For Dwarves only. The recipe for Demon's Gloves. Requires Create Item - Skill Level 5. The success rate is 100%.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
3007	Recipe: Theca Leather Boots		a,For Dwarves only. The recipe for the Theca Leather Boots. Requires Create Item - Skill Level 5. The success rate is 100%.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
3008	Recipe: Theca Leather Gloves		a,For Dwarves only. The recipe for the Theca Leather Gloves. Requires Create Item - Skill Level 5. The success rate is 100%.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
3009	Recipe: Composite Boots		a,For Dwarves only. The recipe for Composite Boots. Requires Create Item - Skill Level 5. The success rate is 100%.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
3010	Recipe: Composite Helmet		a,For Dwarves only. The recipe for a Composite Helmet. Requires Create Item - Skill Level 5. The success rate is 100%.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
